"","team_api_id","team_fifa_api_id","team_long_name","buildUpPlay","chanceCreation","defence","goals"
"1",1601,874,"Ruch Chorzów",0,155,175,280
"2",1601,874,"Ruch Chorzów",0,159,136,280
"3",1601,874,"Ruch Chorzów",0,186,144,280
"4",1601,874,"Ruch Chorzów",139,181,136,280
"5",1601,874,"Ruch Chorzów",0,159,136,280
"6",1601,874,"Ruch Chorzów",133,176,136,280
"7",1773,100087,"Oud-Heverlee Leuven",0,157,137,126
"8",1773,100087,"Oud-Heverlee Leuven",153,157,137,126
"9",1773,100087,"Oud-Heverlee Leuven",0,157,137,126
"10",1957,110745,"Jagiellonia Bialystok",0,150,210,287
"11",1957,110745,"Jagiellonia Bialystok",130,146,162,287
"12",1957,110745,"Jagiellonia Bialystok",0,151,140,287
"13",1957,110745,"Jagiellonia Bialystok",0,163,141,287
"14",1957,110745,"Jagiellonia Bialystok",158,152,162,287
"15",1957,110745,"Jagiellonia Bialystok",0,163,141,287
"16",2033,111540,"S.C. Olhanense",0,133,112,138
"17",2033,111540,"S.C. Olhanense",0,134,105,138
"18",2033,111540,"S.C. Olhanense",0,155,155,138
"19",2033,111540,"S.C. Olhanense",147,134,105,138
"20",2033,111540,"S.C. Olhanense",0,165,130,138
"21",2182,873,"Lech Poznan",176,185,157,372
"22",2182,873,"Lech Poznan",0,155,160,372
"23",2182,873,"Lech Poznan",0,185,157,372
"24",2182,873,"Lech Poznan",0,185,157,372
"25",2182,873,"Lech Poznan",0,186,144,372
"26",2182,873,"Lech Poznan",147,196,153,372
"27",2183,1570,"P. Warszawa",0,162,140,184
"28",2183,1570,"P. Warszawa",0,131,139,184
"29",2183,1570,"P. Warszawa",0,180,113,184
"30",2183,1570,"P. Warszawa",0,155,175,184
"31",2186,110747,"Cracovia",0,148,144,235
"32",2186,110747,"Cracovia",0,140,205,235
"33",2186,110747,"Cracovia",125,165,157,235
"34",2186,110747,"Cracovia",0,168,163,235
"35",2186,110747,"Cracovia",125,165,157,235
"36",4087,111271,"Évian Thonon Gaillard FC",0,168,153,180
"37",4087,111271,"Évian Thonon Gaillard FC",0,180,165,180
"38",4087,111271,"Évian Thonon Gaillard FC",156,161,153,180
"39",4087,111271,"Évian Thonon Gaillard FC",149,164,140,180
"40",4087,111271,"Évian Thonon Gaillard FC",0,168,153,180
"41",4170,111376,"US Boulogne Cote D'Opale",0,154,155,31
"42",4170,111376,"US Boulogne Cote D'Opale",0,150,200,31
"43",4170,111376,"US Boulogne Cote D'Opale",0,165,155,31
"44",6269,112225,"Novara",0,163,151,34
"45",6269,112225,"Novara",0,150,130,34
"46",6269,112225,"Novara",0,172,147,34
"47",6269,112225,"Novara",179,168,138,34
"48",6351,2013,"KAS Eupen",0,160,155,28
"49",6391,110316,"GFC Ajaccio",0,179,146,37
"50",6391,110316,"GFC Ajaccio",153,163,141,37
"51",6403,1892,"FC Paços de Ferreira",0,170,90,292
"52",6403,1892,"FC Paços de Ferreira",0,157,139,292
"53",6403,1892,"FC Paços de Ferreira",142,169,139,292
"54",6403,1892,"FC Paços de Ferreira",117,157,139,292
"55",6403,1892,"FC Paços de Ferreira",0,157,143,292
"56",6403,1892,"FC Paços de Ferreira",0,148,150,292
"57",6413,1914,"PEC Zwolle",137,161,181,204
"58",6413,1914,"PEC Zwolle",0,154,141,204
"59",6413,1914,"PEC Zwolle",136,165,181,204
"60",6421,10018,"Leixões SC",0,165,90,55
"61",6433,100632,"Go Ahead Eagles",160,131,141,74
"62",6433,100632,"Go Ahead Eagles",144,132,141,74
"63",6493,1714,"AC Bellinzona",0,175,150,128
"64",6493,1714,"AC Bellinzona",0,148,138,128
"65",6547,100741,"FC Penafiel",147,146,121,29
"66",6631,100626,"FC Dordrecht",134,176,164,24
"67",7730,1862,"FC Lausanne-Sports",0,160,141,99
"68",7730,1862,"FC Lausanne-Sports",141,164,145,99
"69",7730,1862,"FC Lausanne-Sports",0,160,165,99
"70",7730,1862,"FC Lausanne-Sports",0,160,141,99
"71",7788,647,"SC Cambuur",136,134,138,119
"72",7788,647,"SC Cambuur",126,159,138,119
"73",7794,58,"SC Bastia",171,156,134,165
"74",7794,58,"SC Bastia",174,156,147,165
"75",7794,58,"SC Bastia",0,150,139,165
"76",7794,58,"SC Bastia",0,140,210,165
"77",7794,58,"SC Bastia",0,150,139,165
"78",7819,210,"SM Caen",157,155,136,220
"79",7819,210,"SM Caen",0,155,143,220
